nombre_archivo,tipo,codigo_participante,fecha_sesion,duracion_segundos,codec_video,codec_audio,resolucion,tamanio_bytes,hash_sha256,notas
02-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-01,2026-08-01,784,h264,aac,1280x720,16549248,b865f68c9927e7765230ef4dba545db036b1522240244ef0d0dd2e5b48ee4fc6,"Video AdministradorDeBodega ENTR-01. Audio confirmado en m4a/aac tras correr ffprobe, duracion 783.85s (consistente con el video)."
03-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-02,2026-08-01,829,h264,aac,1280x720,20180058,ea06a3d6b475a09abfc6ae48a71bf59bd48d45828d33996e3203067b83b604fc,"Video AdministradorDeBodega ENTR-02. Audio confirmado en m4a/aac tras correr ffprobe, duracion 828.93s (consistente con el video)."
04-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-03,2026-08-01,702,h264,aac,640x360,25061952,fb0319d084f72e7586934b23834ae76cad2024c98619b117a6ccb4a988881175,"Video Carnicero_Despachador ENTR-03. Audio confirmado en m4a/aac tras correr ffprobe, duracion 702.19s (consistente con el video). Resolucion menor (640x360) que el resto. Fecha de sesion confirmada = 2026-08-01 (segun el video)."
05-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-04,2026-08-01,873,h264,aac,1280x720,20863739,adc659338e030c16cdf89d138fb372ae509a5ca833f288fc0e32ac87ab2a976e,"Video OperarioRecepcionPesaje ENTR-04. Audio confirmado en m4a/aac tras correr ffprobe, duracion 958.12s - difiere significativamente (~85s) de la duracion del video (872.57s). Revisar si el audio corresponde a una sesion mas larga o incluye tramos adicionales."
01-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-05,2026-07-28,2012,h264,aac,1280x720,20949454,6224f3ed7dc36b9f9509be1621fea208a8d31e6bd3dc2a634e69c3295d455148,Video Propietaria ENTR-05. Incluye mp3 adicional con duracion medida 2048.81s (difiere ~36s del video); revisar si el audio se inicio antes o despues de la grabacion de video.
06-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-06,2026-08-29,850,h264,aac,1280x720,14772043,86885D9FE5CB0C172A4C2457A41E8BAD0EEC40E2386B8A1F686424900F846193,"Video Chofer ENTR-06. Duracion video 849.83s. Incluye mp3 adicional, duracion 849.81s (consistente con el video). Contenedor subido al repositorio (commit 14c8569)."
07-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-07,2026-08-30,785,h264,aac,1280x720,15525490,E55B11FC94762DF5EB63BC38924F6ACD02486EBA13F9912F93E899C345BDBCA2,"Video Recepcion_Bodega ENTR-07. Duracion video 784.57s. Incluye mp3 adicional, duracion 784.55s (consistente con el video). Contenedor subido al repositorio (commit 14c8569)."
08-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-08,2026-08-31,480,h264,aac,1280x720,25006443,666e0aba5c1c5f55816755061ee84b003d7445d898235880775ba66402ad4d96,"Video OperarioRecepcionPesaje ENTR-08 (Recepcion). Incluye mp3 adicional (480.00s, consistente con el video). El caracter ""?"" en el nombre del archivo original es un artefacto de codificacion UTF-8 al transferir el listado, no una corrupcion real del archivo."
09-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-09,2026-08-31,601,h264,aac,1280x720,17120401,8f7c5eddc7e88a3f00a8ff77fe29a9f56cc284a8184b28ab276cdf2a0f201858,"Video VendedorMostrador ENTR-09. Incluye mp3 adicional (600.65s, consistente con el video)."
10-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-10,2026-08-31,632,h264,aac,1280x720,17854283,a02cc0280734ccb3b7f2a44ddfc13960245f65fdd5f929831ac2e0ad1a18b298,"Video VendedorMostrador ENTR-10. Incluye mp3 adicional (631.51s, consistente con el video). El nombre de archivo termina en ""_Mostrador"" en vez de ""_Entrevista"" - inconsistencia menor de nomenclatura frente a las demas carpetas."
11-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-11,2026-09-01,679,h264,aac,640x360,33689680,029dfcced89c8afe80e04c8b9dd7526583506392d57494114b675592d4bc33d3,"Video Encargada_Sucursal ENTR-11. Incluye mp3 adicional (678.68s, consistente con el video). Fecha de sesion confirmada = 2026-09-01 (tomada del nombre real del video)."
12-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-12,2026-09-01,612,h264,aac,640x360,32515763,b3302da0b428a201cdc1595e9e8d04c5a3abd5db743cdd6472cbe75dda4310a1,"Video Administrador_Contador ENTR-12. Incluye mp3 adicional (612.20s, consistente con el video). Fecha de sesion confirmada = 2026-09-01."
13-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-13,2026-09-01,794,h264,aac,640x360,40601104,8e4885eb73e79919551d04f32357ac9df41b57eb35e0a58bdd7282ca42132c6a,"Video Chofer_Despacho ENTR-13. Incluye mp3 adicional (794.11s, consistente con el video). Fecha de sesion confirmada = 2026-09-01."
14-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-14,2026-08-31,839,h264,aac,640x360,19820110,2fa8bf1eaf15dcec79ae3fe3decf3b168064544bea67efa1dbb7ae1f9d3e7d22,"Video Chofer_Despachador ENTR-14. Duracion 839.28s (ffprobe), consistente con su audio (m4a/aac, 839.25s). El video de ENTR-15 tenia inicialmente el mismo valor por ffprobe, pero verificacion manual confirmo que su duracion real es distinta (870s), descartando la sospecha de duplicacion."
15-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-15,2026-08-31,870,h264,aac,640x360,24158760,039b8def094c391364f7a5648739b1d05b0cc3108d451c2fb34e8e35b43177b1,"Video Chofer_Despachador ENTR-15. Duracion corregida a 870s tras verificacion manual (el valor obtenido por ffprobe era 839.28s, identico al de ENTR-14; la revision manual confirma que en realidad son duraciones distintas). El audio (m4a/aac) de este archivo dura 933.63s. Hash y tamano recalculados el 04/09/2026 (verificado con Get-FileHash): el contenedor se resubio/recomprimio tras el calculo original, contenido de la entrevista confirmado como ENTR-15."
16-evidencias_restringidas.7z,entrevista_audiovisual,ENTR-16,2026-08-31,1282,h264,aac,640x360,25255640,f8324084d6e2aeb3cb4e8eabc336be53be3da840f2202b1dde64e20b4a1e8894,"Video Vendedor_Demostrador ENTR-16. Audio confirmado en m4a/aac tras correr ffprobe, duracion 1281.73s (identica al video)."
17-evidencias_restringidas.7z,sesion_member_checking,ENTR-05;ENTR-11;ENTR-14,2026-09-04,788,h264,aac,1920x1140,11711934,1e2ad29bb392caa5ffef2d78e294ed55158066f21d636ec2a35579987476b1db,"Sesion grupal de member checking (verificacion de interpretacion de resultados), participantes ENTR-05, ENTR-11 y ENTR-14. Video MemberChecking_ENTR-05-ENTR-11-ENTR-14.mp4, duracion 788.25s segun ffprobe. Acta firmada correspondiente en 02_Evidencias/Member_Checking/."
