ID,Estado,Duplicado,Inconsistente,Conflicto,Ambiguo
RF-21,Mejorable,No,No,No,Sí
RF-01,Correcto,No,No,No,No
RF-17,Correcto,No,No,No,No
RF-02,Correcto,No,No,No,No
RF-03,Correcto,No,No,No,No
RF-04,Correcto,No,No,No,No
RF-05,Mejorable,No,No,No,No
RF-06,Correcto,No,No,No,No
RF-07,Correcto,No,No,No,No
RF-08,Mejorable,No,No,No,Sí
RF-09,Correcto,No,No,No,No
RF-10,Correcto,No,No,No,No
RF-11,Correcto,No,No,No,No
RF-12,Correcto,No,No,No,No
RF-13,Mejorable,No,No,No,No
RF-14,Mejorable,No,No,No,No
RF-15,Correcto,No,No,No,No
RF-16,Mejorable,No,No,No,No
RF-18,Correcto,No,No,No,No
RF-19,Mejorable,No,No,No,No
RF-20,Correcto,No,No,No,No
RF-22,Correcto,No,No,No,No
RF-23,Correcto,No,No,No,No
RF-24,Mejorable,No,No,No,No
RF-25,Correcto,No,No,No,No
